店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
show restaurant nest 新宿店,050-5493-8394,,東京都,新宿区,歌舞伎町1-14-7,新宿ハヤシビルB1,https://ghwj500.gorp.jp/?_gl=1*mwjh9j*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzQwMC41My4wLjA.,TRUE
完全個室居酒屋 大吉～だいきち～ 新宿西口店,050-5494-6036,,東京都,新宿区,西新宿1-18-5,甲新ビル5F,https://ggz9500.gorp.jp/?_gl=1*izy1mk*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzQxOC4zNS4wLjA.,TRUE
完全個室居酒屋 大吉～だいきち～ 新宿西口店,050-5494-6036,,東京都,新宿区,西新宿1-18-5,甲新ビル5F,https://ggz9500.gorp.jp/?_gl=1*q1ksjk*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzQzNC4xOS4wLjA.,TRUE
夜景完全個室居酒屋 天空の雫 新宿東口店,050-5484-1785,,東京都,新宿区,歌舞伎町1-6-3,東海ビル5F,https://gazz100.gorp.jp/?_gl=1*192cz9e*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzQ1MC4zLjAuMA..,TRUE
地鶏×一軒家居酒屋 鳥京 新宿総本店,050-5488-7253,,東京都,新宿区,歌舞伎町1-22-12,,https://ggyh700.gorp.jp/?_gl=1*hwdywv*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzQ2Ny41MS4wLjA.,TRUE
【個室完備】焼き鳥野郎 新宿西口店,050-5492-0646,,東京都,新宿区,西新宿7-5-6,新宿ダイカンプラザ756 2F,https://gg8s408.gorp.jp/?_gl=1*esrw1q*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzQ4My4zNS4wLjA.,TRUE
個室 九州地鶏居酒屋 肉寿司×もつ鍋食べ放題 炭鶏 新宿店,050-5494-5800,,東京都,新宿区,歌舞伎町1-17-5,3F,https://gh1c700.gorp.jp/?_gl=1*rqnzym*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzUwMC4xOC4wLjA.,TRUE
個室居酒屋 6年4組 新宿東口駅前分校,050-5484-7122,,東京都,新宿区,歌舞伎町1-16-3,新宿スクエアビル9F,https://gdz2600.gorp.jp/?_gl=1*4eirm3*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzUxOS42MC4wLjA.,TRUE
大山鶏と海鮮が旨い個室居酒屋 一兆 新宿西口店,050-5494-6033,,東京都,新宿区,西新宿1-18-5,甲新ビルB1,https://ggz9503.gorp.jp/?_gl=1*dfd1ao*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzUzNS40NC4wLjA.,TRUE
海鮮と日本酒 和食居酒屋 米助 新宿総本店,050-5492-8617,,東京都,新宿区,新宿3-36-13,Mビル7F,https://ggpb104.gorp.jp/?_gl=1*1azlbzk*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzU1Mi4yNy4wLjA.,TRUE
厳選和食と銘酒 完全個室居酒屋 なごみ 新宿西口店,050-5488-6862,,東京都,新宿区,西新宿1-15-8,5F,https://ggxh803.gorp.jp/?_gl=1*1ahixdx*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzU2OS4xMC4wLjA.,TRUE
焼き鳥食べ放題 完全個室居酒屋 鳥三平 新宿店,050-5488-1145,,東京都,新宿区,新宿3-31-5,B1,https://ge6a112.gorp.jp/?_gl=1*sbxaxa*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzU4Ni41OC4wLjA.,TRUE
完全個室居酒屋 福吉 新宿西口店,050-5484-6636,,東京都,新宿区,西新宿1-4-5,西新宿オークビル1F,https://ggz9505.gorp.jp/?_gl=1*1yqcoz5*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzYwMy40MS4wLjA.,TRUE
個室居酒屋 海鮮炉端 かぶきもの 新宿東口店,050-5488-6338,,東京都,新宿区,歌舞伎町1-17-13,j1ビル5F,https://ggez503.gorp.jp/?_gl=1*xsbva4*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzYyMS4yMy4wLjA.,TRUE
和食個室居酒屋 一歩 新宿西口店,050-5492-3590,,東京都,新宿区,西新宿1-18-5,中沖ビルB1,https://ggz9504.gorp.jp/?_gl=1*4ahmz3*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzYzOC42LjAuMA..,TRUE
九州料理×個室居酒屋 九蔵 新宿西口店,050-5486-4464,,東京都,新宿区,西新宿1-16-12,第一清新ビル4F,https://gj2w400.gorp.jp/?_gl=1*cvzmuj*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzY1Ni41MC4wLjA.,TRUE
全席完全個室居酒屋 酒槽 新宿西口店,050-5492-1406,,東京都,新宿区,西新宿1-16-11,AIビル3F,https://ghfj800.gorp.jp/?_gl=1*82j8mz*_ga*OTAzNzI0OTM5LjE3MDgyNjMzOTE.*_ga_L9BHK8C28C*MTcwODI2MzM5My4xLjEuMTcwODI2MzY3NC4zMi4wLjA.,TRUE
